id_cliente,id_campanha,abriu,clicou,data_interacao
771,1812,0,0,2024-03-24
3532,2565,1,1,2025-05-03
567,1984,1,0,2025-06-16
4489,2307,1,1,2024-07-30
3926,1191,1,0,2025-05-06
918,980,0,0,2024-11-24
188,1020,1,0,2024-06-15
3014,1761,1,0,2025-11-24
4254,1945,0,0,2025-08-19
476,2931,1,0,2025-08-19
2934,2898,0,0,2024-03-21
1246,927,1,0,2024-08-14
964,1616,1,1,2025-06-15
4128,2983,1,0,2024-12-18
450,1293,0,0,2024-06-21
254,770,0,0,2025-02-24
3106,843,1,0,2024-09-01
187,56,1,0,2024-08-17
4893,1626,1,0,2025-09-14
2031,894,0,0,2025-02-18
240,2020,1,0,2025-10-28
73,109,0,0,2024-04-24
2248,2687,1,0,2025-11-03
1496,886,1,0,2024-09-24
2766,2190,0,0,2024-08-16
2338,2851,1,0,2024-03-13
1402,997,1,0,2024-07-17
4734,2019,1,0,2025-10-03
4438,2837,1,0,2024-07-21
2248,1459,1,0,2024-12-22
937,2360,0,0,2024-03-03
1760,1274,1,1,2024-02-11
3510,2031,1,0,2025-08-12
4007,801,1,0,2024-12-04
1578,596,0,0,2025-11-13
140,134,1,1,2024-05-08
3597,1492,1,0,2025-11-27
4238,1765,0,0,2025-06-03
805,1610,1,0,2024-12-11
317,1640,1,0,2025-09-20
1382,2356,1,0,2024-09-17
2132,1468,1,1,2025-07-01
909,1104,1,1,2025-09-14
1461,2229,1,0,2025-09-02
3107,281,1,0,2025-02-02
836,1258,1,1,2025-08-12
3073,312,1,0,2024-09-11
182,1364,1,0,2025-07-23
3106,1437,0,0,2025-10-11
3263,2052,0,0,2024-09-12
4150,1047,0,0,2025-10-07
4095,1852,1,1,2025-07-13
1626,1189,0,0,2024-07-01
2234,2589,0,0,2025-02-19
2769,2321,1,0,2025-02-06
235,37,1,1,2024-04-26
760,2462,0,0,2025-09-01
1128,624,1,1,2024-06-30
4282,1542,0,0,2024-12-22
2188,2814,1,1,2024-07-28
1702,1600,0,0,2024-12-15
4384,1506,0,0,2025-02-04
4759,1331,0,0,2025-05-22
3695,88,0,0,2024-12-10
1587,1060,1,0,2025-05-14
697,1665,0,0,2024-06-06
272,2227,1,1,2025-05-17
158,986,1,0,2024-12-15
4604,1115,1,0,2025-10-16
3797,139,1,0,2025-08-17
4673,1355,0,0,2025-07-26
2748,2908,1,0,2024-05-22
2912,1045,1,0,2024-03-04
4720,1349,1,0,2024-01-25
2898,1783,1,0,2025-12-04
64,50,1,0,2025-03-27
3661,839,1,0,2024-12-23
2332,2856,0,0,2025-08-09
1509,960,1,1,2024-05-26
1744,2257,1,1,2024-01-24
4214,2483,1,1,2025-08-28
379,218,1,1,2025-05-10
848,514,0,0,2024-12-20
2326,2607,0,0,2025-05-11
3319,307,0,0,2024-03-15
336,1109,0,0,2024-08-29
2472,2292,1,0,2025-08-08
1424,2563,0,0,2025-11-13
2009,1284,0,0,2024-03-04
4439,828,0,0,2025-07-11
1385,2763,1,0,2024-03-22
3321,2697,1,0,2025-01-19
1705,198,0,0,2024-08-14
2669,1550,1,0,2024-05-15
786,340,1,0,2025-03-06
4299,1920,0,0,2024-04-15
4275,2436,1,0,2025-11-02
3995,2981,0,0,2024-12-16
3413,489,1,0,2025-09-26
2086,1564,0,0,2024-12-25
845,2387,0,0,2025-07-18
495,2362,1,0,2025-04-12
2474,2005,1,0,2025-04-10
4229,2239,0,0,2025-10-31
1514,988,1,0,2025-01-07
2396,2292,0,0,2025-08-11
3756,20,1,0,2024-01-02
1205,1396,1,0,2024-10-14
1285,355,0,0,2024-07-13
253,2256,0,0,2024-07-16
3328,1979,0,0,2024-12-13
495,2518,1,0,2025-11-18
1216,2217,1,0,2025-11-23
4500,881,0,0,2025-12-08
2958,1882,1,1,2025-05-30
4339,548,0,0,2024-09-24
114,774,0,0,2025-08-15
79,2432,0,0,2024-01-07
3662,192,0,0,2024-05-23
4262,249,1,0,2025-05-11
3561,2376,1,1,2025-04-29
4675,2109,1,0,2024-02-10
1267,2755,0,0,2024-05-29
4029,2960,1,0,2025-05-23
1442,2522,1,1,2024-09-02
2347,2758,0,0,2024-11-29
3236,1298,1,0,2025-05-23
2953,2773,1,0,2024-07-09
1313,2057,1,0,2025-11-23
4083,1953,0,0,2024-02-08
331,794,1,0,2025-04-29
500,762,1,1,2024-11-09
1850,239,1,0,2024-11-25
2095,1415,1,0,2025-01-27
1825,990,1,0,2024-09-19
3781,1057,0,0,2025-02-18
3122,931,1,0,2024-02-28
1202,2652,1,0,2025-10-17
3016,501,1,0,2025-06-04
3951,2593,0,0,2025-03-14
507,2950,0,0,2025-10-29
3273,2963,0,0,2024-02-02
4920,856,1,0,2024-01-27
1779,1057,1,0,2025-02-23
3279,653,0,0,2024-08-19
1892,1907,1,0,2024-04-15
4074,2762,1,0,2025-03-30
1704,418,1,0,2025-07-26
436,29,1,0,2025-11-28
1701,1029,0,0,2025-10-24
1675,1826,1,1,2024-11-04
1611,2797,1,0,2024-01-11
1725,2185,1,0,2025-10-06
1048,1475,0,0,2025-03-31
104,1104,1,0,2025-09-16
4291,2912,0,0,2024-05-06
932,1956,0,0,2025-11-22
3160,2214,1,0,2024-11-12
3164,1212,1,0,2025-10-17
2478,2982,0,0,2025-10-24
786,1506,1,0,2025-02-07
3798,2543,0,0,2024-12-13
2371,124,1,0,2025-08-23
3689,812,0,0,2025-07-30
3512,2140,1,0,2025-06-09
1088,2156,0,0,2024-04-26
4688,156,1,0,2025-04-21
3840,2773,0,0,2024-07-04
1731,329,0,0,2025-11-15
1950,676,1,0,2024-11-14
3446,1415,0,0,2025-01-21
245,524,1,0,2024-11-22
4293,1659,0,0,2025-10-03
3304,2647,1,0,2024-11-14
3421,1930,1,1,2024-04-14
4727,2780,1,1,2024-03-18
4781,1468,0,0,2025-07-01
8,947,1,1,2024-10-13
3848,1562,1,1,2024-05-08
4637,1641,1,0,2025-08-24
1687,2347,0,0,2024-06-09
1867,2444,0,0,2024-09-01
2760,2444,1,1,2024-09-01
2850,1313,0,0,2025-06-21
3398,1484,1,0,2025-04-05
1626,306,1,0,2024-04-22
257,220,1,0,2025-07-30
1200,1916,0,0,2024-10-24
3081,908,0,0,2025-02-10
2875,1600,0,0,2024-12-19
1679,2949,0,0,2025-01-28
1393,2989,1,0,2024-07-04
2195,2312,1,0,2025-08-15
3207,21,0,0,2025-07-31
1015,137,0,0,2024-05-21
4496,2128,1,0,2025-08-21
3624,852,0,0,2025-10-02
3387,1268,1,0,2024-02-12
4678,2573,0,0,2024-05-04
3843,2106,1,0,2024-06-08
749,1984,0,0,2025-06-13
191,2456,1,1,2025-11-22
2398,2897,0,0,2024-12-08
4582,441,1,0,2024-02-23
2023,2932,1,0,2024-08-14
2459,1045,0,0,2024-03-01
1916,2211,1,0,2025-08-06
2668,536,1,0,2024-09-24
2718,1594,1,0,2024-06-20
4532,784,1,0,2024-02-20
3682,1813,1,0,2025-11-30
4117,969,0,0,2024-09-22
2012,1082,1,0,2025-01-07
4163,1307,0,0,2025-02-09
333,1619,1,0,2024-09-21
1964,185,1,0,2025-11-07
3195,1149,1,0,2024-09-19
1355,1087,0,0,2024-11-18
1903,1468,1,0,2025-07-05
1449,460,1,1,2024-03-24
3186,132,0,0,2024-01-21
3702,261,1,0,2025-04-07
2705,1272,1,1,2025-07-18
6,1228,0,0,2025-07-18
1737,1954,1,0,2024-10-14
3526,2388,1,0,2025-03-28
3491,333,1,1,2025-02-27
363,974,0,0,2025-08-13
3319,2863,1,0,2025-01-06
4119,2913,0,0,2024-09-26
4613,2617,1,0,2024-06-13
1005,1286,1,1,2025-11-21
3055,537,0,0,2024-02-02
3286,6,1,1,2024-07-22
2586,2,0,0,2025-05-11
1371,2401,1,0,2025-02-17
4249,48,1,0,2024-05-07
562,756,0,0,2024-02-09
3815,388,0,0,2024-07-06
3071,2290,1,0,2024-12-06
743,2449,1,0,2025-03-21
950,777,0,0,2025-05-27
3062,149,0,0,2025-03-21
990,2358,1,0,2025-02-07
1824,2361,1,0,2024-11-21
3548,2705,1,0,2025-08-12
94,2630,1,0,2025-08-02
1672,2897,1,0,2024-12-11
2996,71,1,0,2024-11-11
4917,1731,1,0,2025-03-14
1701,576,1,1,2024-01-23
2892,669,0,0,2024-06-06
4609,1087,1,1,2024-11-17
3916,2770,1,0,2024-07-01
2976,2139,1,0,2024-03-29
2089,2216,1,0,2024-10-10
1486,1698,0,0,2024-02-24
269,2662,1,1,2024-06-11
4849,1518,0,0,2024-04-21
2606,2009,0,0,2025-10-29
903,483,1,1,2024-09-26
520,2221,1,1,2024-12-01
1885,2784,0,0,2025-03-20
1816,802,1,0,2025-11-25
4162,2029,0,0,2024-11-13
488,1758,0,0,2025-11-14
943,1166,0,0,2025-06-27
4916,1764,1,0,2024-06-02
864,83,0,0,2025-07-30
883,2338,0,0,2025-07-25
397,1181,1,0,2025-02-21
534,578,0,0,2024-02-13
3459,25,1,0,2024-12-25
846,2823,0,0,2024-09-27
2074,1045,0,0,2024-03-04
349,2217,0,0,2025-11-29
4093,419,1,0,2024-05-28
1935,1119,1,0,2024-01-18
4637,1444,1,0,2024-02-20
2724,2055,1,0,2024-11-12
2149,1395,1,0,2024-05-25
4476,1427,0,0,2024-03-23
3991,1057,1,0,2025-02-19
2499,587,0,0,2024-08-25
132,1190,0,0,2024-10-30
3630,1766,1,0,2024-06-19
4372,1179,1,0,2025-10-17
702,2460,0,0,2025-08-04
368,393,1,0,2024-05-08
4059,570,1,0,2024-04-19
3846,1203,0,0,2025-01-13
4250,1312,0,0,2025-04-22
1104,2812,1,0,2024-01-10
3180,348,1,0,2024-06-01
4425,1635,1,0,2024-07-11
4889,2139,1,0,2024-03-28
4493,2436,0,0,2025-11-12
3384,1979,0,0,2024-12-05
3243,1514,1,0,2024-07-21
2420,184,1,0,2025-05-27
1083,845,1,0,2024-05-17
1213,1121,1,1,2025-07-21
2799,1599,0,0,2024-11-23
4269,1315,0,0,2025-08-14
2531,2459,1,1,2024-05-11
885,1483,0,0,2025-11-27
2782,616,1,0,2025-08-12
2708,816,0,0,2024-04-05
976,2110,1,0,2025-05-23
2699,2510,0,0,2025-04-16
1884,1181,0,0,2025-02-23
1225,520,0,0,2024-01-09
55,2477,1,1,2025-06-24
2219,1058,0,0,2025-07-20
893,1136,0,0,2024-10-21
616,1152,0,0,2025-01-07
3978,2098,1,0,2024-02-29
3815,1974,0,0,2025-05-19
1239,2823,0,0,2024-09-27
1218,396,0,0,2024-01-27
4350,604,1,1,2025-06-28
4636,2792,0,0,2024-05-30
662,2058,1,1,2025-05-31
4644,1569,1,0,2024-05-27
2817,1898,1,0,2024-08-05
1779,2783,1,0,2025-02-11
2313,1421,0,0,2025-02-04
1747,2877,1,0,2025-07-15
1178,801,0,0,2024-12-01
1222,1289,1,0,2024-04-13
2638,830,1,1,2024-09-10
4313,2784,1,1,2025-03-11
2713,189,0,0,2025-10-03
2756,1498,1,0,2024-08-01
4185,1933,1,0,2024-11-15
3250,1937,1,0,2025-07-05
4361,527,1,0,2024-11-16
2630,2895,0,0,2025-03-23
3660,324,0,0,2025-10-04
456,2564,1,1,2025-08-01
1763,2936,0,0,2024-07-23
2949,2475,1,0,2024-11-02
3246,526,1,0,2025-02-22
2422,2916,0,0,2024-02-05
2105,1079,1,0,2024-06-24
125,1588,1,0,2025-03-04
1167,2421,0,0,2025-05-16
3129,1253,1,0,2024-05-31
1678,875,1,0,2024-04-22
793,502,0,0,2025-03-09
1858,931,0,0,2024-02-27
4757,1847,1,0,2024-12-17
3829,117,1,0,2025-03-14
2479,927,1,0,2024-08-18
2985,2915,1,0,2025-05-21
3387,2568,1,0,2025-10-12
757,1951,1,1,2025-02-20
948,1501,0,0,2025-01-16
4089,2487,1,0,2025-02-22
4219,523,1,1,2024-02-28
1726,879,1,1,2024-12-30
4933,1317,1,1,2025-03-26
113,1188,1,0,2024-01-24
4304,895,0,0,2025-02-09
3796,1269,1,0,2024-10-12
2096,27,1,1,2025-01-20
3368,1447,1,1,2024-09-13
3094,2938,1,0,2024-02-07
1267,493,0,0,2024-06-14
4414,521,1,0,2025-07-08
4125,1702,0,0,2025-11-21
1352,1970,1,1,2025-09-24
1095,1748,1,0,2025-02-23
1688,810,0,0,2025-02-11
2951,2638,0,0,2024-02-18
4669,681,0,0,2024-09-21
3296,1643,0,0,2025-10-05
266,1119,1,0,2024-01-15
1489,829,1,0,2024-02-21
2786,2135,0,0,2025-03-06
4738,2304,1,0,2024-10-23
2534,1774,1,1,2024-11-25
1486,485,1,0,2025-04-02
3832,2283,0,0,2024-07-04
156,1258,1,0,2025-08-12
3083,1034,0,0,2024-07-24
777,341,0,0,2024-06-10
4747,1433,0,0,2025-10-09
3050,2346,0,0,2024-11-09
601,2551,1,0,2024-01-04
856,855,0,0,2025-10-22
1585,2824,1,0,2025-07-15
4005,1638,1,0,2025-02-15
3999,1500,1,0,2025-03-29
3483,295,1,0,2024-10-01
3978,1053,0,0,2024-08-04
4791,1418,1,0,2025-08-24
193,2244,0,0,2025-01-09
1468,1771,0,0,2025-05-16
1573,822,0,0,2025-05-14
4015,1664,1,0,2025-02-15
770,308,1,0,2024-12-25
2523,2154,0,0,2025-11-14
2319,752,0,0,2025-02-22
2058,2046,0,0,2025-05-24
2143,2397,0,0,2025-07-07
21,2975,1,0,2024-03-01
2049,1886,0,0,2024-04-10
2555,2576,0,0,2025-05-02
4939,2338,0,0,2025-07-22
3943,919,1,0,2024-12-11
3721,2512,0,0,2024-10-23
3783,2730,1,0,2024-03-26
4785,2768,1,1,2025-10-19
1587,1877,1,1,2024-08-21
1421,235,1,0,2024-10-12
4636,1798,0,0,2025-09-02
2975,2542,0,0,2025-09-24
2983,1483,0,0,2025-12-04
1602,643,0,0,2024-02-11
3825,30,1,0,2025-10-26
786,1911,0,0,2024-01-11
1499,2991,0,0,2024-04-01
38,2402,1,0,2025-08-10
4521,2818,1,0,2025-03-16
3442,258,1,0,2025-06-30
4956,1943,1,0,2025-07-27
3923,2422,1,1,2025-10-01
3365,1122,1,0,2024-04-13
3135,823,1,0,2025-05-16
3476,1437,0,0,2025-10-13
2743,2123,1,0,2024-02-05
2125,2390,0,0,2025-08-13
642,1429,1,0,2024-03-03
2254,1816,0,0,2025-04-01
296,2937,0,0,2024-09-30
193,1494,1,0,2024-08-05
46,2291,0,0,2024-04-30
4295,2504,1,0,2025-03-27
2120,1364,0,0,2025-07-22
3613,1432,1,0,2025-05-03
3949,2151,1,1,2025-02-20
1628,2988,1,0,2025-08-28
1545,765,0,0,2024-08-26
2029,1668,0,0,2024-02-16
4300,176,0,0,2024-11-27
240,1945,1,1,2025-08-18
716,1441,1,0,2024-10-21
1448,2894,1,1,2024-02-26
376,579,1,0,2024-10-03
3703,2588,0,0,2024-12-28
1656,1194,0,0,2025-03-17
2304,2654,1,0,2024-11-24
3538,153,1,0,2024-04-15
3979,806,0,0,2024-11-24
3888,1084,1,0,2025-06-12
4716,1162,0,0,2025-01-23
438,364,1,0,2025-10-05
368,1979,0,0,2024-12-05
4886,1344,1,1,2024-06-06
2150,2425,0,0,2025-08-09
4635,2597,1,0,2024-04-23
178,1750,1,1,2024-04-24
3664,2685,1,0,2025-04-18
4327,2417,1,0,2025-07-22
1503,1679,1,0,2024-09-16
3306,2163,1,0,2024-12-06
496,1970,1,0,2025-09-25
981,656,0,0,2025-06-14
3270,389,0,0,2025-01-19
900,522,1,0,2024-10-07
4901,2641,0,0,2024-09-30
840,2867,0,0,2024-03-06
2036,2041,1,0,2025-01-16
2740,2841,1,0,2025-09-09
4742,271,0,0,2024-01-14
3314,2627,1,0,2024-05-03
2190,168,1,0,2024-08-09
1680,2204,0,0,2025-04-13
3616,2175,0,0,2024-11-22
1608,44,1,0,2025-01-26
3789,873,1,0,2024-03-04
2333,2827,0,0,2025-03-02
2149,2541,1,1,2024-11-13
82,775,1,0,2025-11-06
2006,2717,0,0,2024-12-17
2013,339,1,0,2024-10-10
4118,1094,0,0,2025-09-28
342,2257,1,0,2024-01-25
4814,884,1,0,2025-03-19
276,1889,0,0,2024-01-14
3570,21,0,0,2025-07-27
1266,1734,0,0,2025-02-05
1018,1482,1,0,2024-05-27
310,534,0,0,2025-03-18
3295,1561,1,1,2025-05-04
1353,1008,1,0,2024-01-19
2169,14,0,0,2024-01-11
3606,2447,0,0,2025-06-04
2894,1128,0,0,2024-07-25
1475,2797,1,0,2024-01-03
963,598,0,0,2024-01-23
4992,1464,1,0,2025-08-19
36,91,1,1,2024-11-05
4356,574,0,0,2024-06-21
4237,518,0,0,2024-07-16
2466,2165,0,0,2024-03-24
4642,973,0,0,2025-06-11
2840,1218,1,0,2024-03-11
4229,1471,1,0,2025-09-12
3663,838,0,0,2024-10-31
1232,1110,0,0,2025-01-21
2683,970,1,1,2024-11-10
4390,643,1,0,2024-02-07
4221,566,1,1,2024-06-23
4808,1455,0,0,2025-02-02
4133,1407,1,0,2025-07-08
3826,2809,1,0,2024-08-10
650,1379,0,0,2025-10-26
337,999,1,0,2025-10-29
3468,2982,0,0,2025-10-31
2690,1243,1,0,2025-11-08
847,2766,0,0,2025-07-29
2410,2100,1,0,2025-03-06
2666,125,1,1,2025-09-28
2361,1668,0,0,2024-02-12
1945,1362,1,0,2024-09-19
4880,1480,1,0,2024-10-28
3017,1363,1,1,2025-09-02
4160,2916,1,1,2024-02-11
2702,1229,1,0,2024-11-02
4069,2020,1,0,2025-10-22
3031,1163,0,0,2025-01-18
1034,889,1,1,2025-01-13
4808,1018,1,0,2025-09-06
140,2022,1,1,2025-06-07
2984,2457,0,0,2025-01-01
2544,2332,0,0,2025-04-26
3784,1087,0,0,2024-11-15
3575,1747,1,0,2024-06-02
3456,2700,0,0,2024-02-27
1262,1352,1,1,2024-05-09
1383,1845,1,1,2024-03-30
3077,1234,1,1,2024-10-06
4021,605,0,0,2024-02-08
2953,809,0,0,2024-01-29
3014,464,0,0,2024-07-02
2264,423,1,0,2024-09-22
458,1389,1,0,2024-02-07
1972,1187,1,0,2024-12-14
2979,1783,0,0,2025-11-27
3474,2287,0,0,2025-02-13
1759,834,1,0,2025-12-05
3963,2865,0,0,2024-07-10
3398,2085,1,0,2024-11-07
2918,32,1,0,2025-08-10
751,123,1,0,2025-07-05
2407,823,1,1,2025-05-14
3863,2291,1,1,2024-04-30
4744,1872,0,0,2024-09-08
3203,2278,1,1,2024-10-10
1988,281,0,0,2025-02-07
296,2145,0,0,2025-01-13
4147,2238,1,0,2024-11-13
274,1510,1,0,2024-09-21
4893,321,1,0,2025-03-08
1419,180,1,1,2025-07-20
1556,2810,0,0,2024-05-20
1779,2338,1,0,2025-07-17
1516,10,0,0,2025-07-03
4452,2296,0,0,2024-10-21
1390,2683,0,0,2024-03-13
4585,2181,0,0,2024-07-03
2435,1161,0,0,2024-03-15
4258,407,0,0,2024-11-10
3710,1771,1,0,2025-05-18
1107,33,1,1,2025-11-12
1521,1205,1,0,2024-12-15
2393,1970,1,0,2025-09-23
2515,1126,0,0,2025-09-01
3794,2656,1,0,2024-02-11
4055,2455,0,0,2025-08-08
1963,1812,0,0,2024-03-31
2681,2123,1,0,2024-02-06
3635,1239,1,0,2025-09-26
3180,2157,1,1,2025-01-21
3146,2498,1,0,2024-12-12
2744,1022,1,0,2025-07-05
3305,1274,0,0,2024-02-11
2287,42,0,0,2025-03-18
3104,2390,0,0,2025-08-14
4632,1537,1,0,2025-11-12
3199,1714,0,0,2025-08-20
524,499,0,0,2025-09-02
1492,570,0,0,2024-04-20
1991,2724,0,0,2025-05-11
1118,1091,1,0,2024-04-28
430,928,1,1,2025-06-10
2211,219,0,0,2024-04-18
527,835,1,0,2025-01-11
4267,1339,1,1,2024-04-08
2701,1343,0,0,2024-11-27
2667,2768,0,0,2025-10-27
3272,2670,0,0,2024-11-08
3772,2058,1,0,2025-05-31
2889,1382,1,0,2025-07-04
3924,2670,1,0,2024-11-12
2163,880,0,0,2024-01-31
1357,1913,1,0,2024-05-04
3559,1455,1,1,2025-02-05
1455,174,1,1,2025-08-16
4179,1767,1,0,2025-02-11
3021,563,1,0,2025-04-02
4706,380,0,0,2025-05-02
2848,2748,0,0,2024-01-30
2788,1675,1,1,2025-02-07
2594,2242,1,0,2025-12-01
2156,769,0,0,2024-02-06
4610,2051,0,0,2024-02-10
3468,1683,0,0,2025-06-05
1526,2007,0,0,2025-09-11
2287,528,1,0,2024-03-08
3295,167,0,0,2024-01-17
635,2012,1,0,2024-01-31
4941,334,1,0,2025-10-10
2421,2378,0,0,2025-03-10
2965,2532,0,0,2025-07-06
1088,1938,1,1,2024-09-29
3517,392,0,0,2024-08-10
1766,1297,0,0,2025-03-30
1588,184,1,0,2025-05-30
3965,1963,0,0,2025-04-08
1012,905,1,1,2024-08-14
1255,574,1,0,2024-06-22
2356,1390,0,0,2025-08-02
3768,452,1,0,2024-08-30
359,1161,1,0,2024-03-15
2311,1020,0,0,2024-06-08
3390,1741,1,0,2025-11-24
1438,908,1,1,2025-02-14
2915,1392,1,0,2024-08-08
2053,1859,1,0,2025-03-06
3743,569,0,0,2024-07-05
1983,1660,0,0,2025-09-02
471,590,1,0,2025-02-13
64,1460,0,0,2025-05-25
3577,2253,1,0,2025-08-08
2615,1894,0,0,2025-07-30
1457,341,0,0,2024-06-06
3139,1859,0,0,2025-03-09
1660,739,0,0,2025-10-01
1538,2353,0,0,2025-04-10
137,2580,0,0,2025-01-19
4340,1155,0,0,2024-08-14
671,1715,1,0,2025-02-21
4766,1216,1,0,2024-12-16
1862,132,1,1,2024-01-23
2172,1689,0,0,2025-01-13
2711,453,0,0,2025-06-23
283,1248,1,0,2025-07-22
2646,2909,1,0,2024-07-15
808,205,0,0,2025-01-20
2331,1603,0,0,2024-08-31
1838,1707,1,1,2024-01-29
3949,2903,0,0,2025-10-23
