id_venda,id_cliente,id_campanha,valor,data_venda
54,4279,317,103.62,2024-01-19
55,17,699,96.05,2024-11-19
56,492,469,84.11,2024-06-27
57,3445,1979,87.78,2024-12-15
58,316,2225,62.90,2024-06-30
59,1927,690,148.80,2025-09-04
60,3838,2321,250.72,2025-02-04
61,1827,841,186.21,2024-06-01
62,3414,1407,105.83,2025-07-04
63,786,1139,30.63,2024-04-03
64,68,3000,29.24,2025-02-02
65,4384,1057,73.87,2025-03-08
66,3737,35,148.70,2025-11-15
67,435,2996,51.54,2025-05-29
68,220,1723,110.25,2024-11-27
69,4094,174,119.17,2025-08-18
70,4138,618,113.08,2025-01-27
71,4323,1063,34.14,2025-10-27
72,3776,1187,85.37,2024-12-28
73,2437,2115,165.29,2024-06-25
74,1341,873,29.23,2024-02-27
75,314,1662,93.45,2025-10-29
76,1168,2158,130.91,2025-06-25
77,1726,2533,23.81,2024-10-12
78,505,2120,63.17,2024-12-13
79,3491,1655,108.26,2024-02-22
80,1773,137,158.00,2024-06-02
81,3548,1577,184.00,2024-02-23
82,741,2514,98.66,2024-03-12
83,4659,1764,38.42,2024-06-03
84,1484,949,150.73,2025-09-08
85,4870,1264,72.03,2024-02-21
86,3587,343,41.22,2024-06-17
87,4686,705,125.38,2024-05-06
88,932,2261,68.64,2025-09-24
89,3383,2005,65.02,2025-04-07
90,4500,2667,118.69,2024-09-21
91,2793,2807,63.10,2024-10-04
92,1371,463,98.96,2025-04-19
93,2990,1716,172.83,2024-10-09
94,1885,2512,222.10,2024-10-27
95,4160,2916,93.70,2024-02-24
96,3349,2483,141.40,2025-08-21
97,4756,2691,46.76,2024-03-02
98,1701,576,55.54,2024-01-24
99,1887,1525,169.62,2025-06-25
100,111,2948,84.13,2025-09-23
101,1953,721,33.36,2024-09-17
102,3656,265,54.01,2024-08-10
103,435,865,38.61,2025-10-01
104,3544,2597,73.47,2024-04-29
105,475,43,182.14,2025-02-01
106,4219,523,83.95,2024-03-10
107,3564,2830,54.13,2025-11-18
108,250,2732,85.63,2024-09-29
109,646,1428,60.41,2025-04-02
110,4642,647,47.64,2024-01-31
111,3295,1561,101.35,2025-05-17
112,1780,172,43.62,2024-01-28
113,3213,666,52.42,2025-08-30
114,4756,1289,90.37,2024-04-20
115,607,1042,89.79,2024-08-31
116,1548,2384,75.68,2025-03-10
117,4832,728,135.86,2024-10-27
118,3341,2197,21.18,2024-03-02
119,263,1287,108.35,2024-05-02
120,3082,1890,44.34,2025-11-29
121,4785,2768,48.69,2025-11-02
122,1555,335,58.85,2025-11-18
123,2990,1716,63.40,2024-10-11
124,3354,1676,39.23,2025-02-27
125,3454,2096,50.86,2025-09-10
126,1532,2914,68.66,2024-05-27
127,1570,753,36.16,2024-11-09
128,4808,1055,162.88,2025-08-08
129,1026,517,74.94,2025-10-01
130,4170,1544,135.55,2025-09-06
131,712,66,109.84,2025-02-23
132,1005,1286,104.88,2025-12-02
133,469,1006,186.18,2024-06-07
134,3967,724,42.30,2024-03-01
135,2299,2224,244.71,2024-05-02
136,4666,1609,46.95,2025-07-03
137,1527,2094,77.52,2024-09-13
138,2109,144,62.19,2025-05-26
139,386,1892,72.99,2025-01-27
140,4151,2881,158.32,2025-04-29
141,1497,869,39.32,2025-07-14
142,786,1126,170.89,2025-09-18
143,1649,2462,84.84,2025-09-09
144,2444,448,86.56,2025-09-23
145,1350,1636,103.14,2025-06-23
146,2869,277,202.33,2025-09-05
147,1293,2269,49.36,2024-03-13
148,1355,783,130.30,2024-04-08
149,719,1053,141.13,2024-08-20
150,2737,60,244.71,2025-10-18
151,4386,632,44.20,2025-07-25
152,3137,2276,229.23,2024-12-02
153,1024,432,179.13,2025-05-20
154,3170,2347,65.63,2024-06-20
155,3994,1092,121.28,2025-07-19
156,1920,244,80.78,2025-02-02
157,3668,2891,26.89,2024-02-14
158,500,762,99.42,2024-11-11
159,4461,1015,152.54,2024-07-13
160,1791,1852,110.25,2025-07-23
161,2444,448,88.45,2025-10-05
162,3452,1242,83.63,2024-04-22
163,3866,190,41.64,2024-08-05
164,4639,768,77.15,2024-05-22
165,1364,2028,111.36,2024-04-06
166,3488,2757,87.16,2025-05-08
167,1703,947,93.65,2024-10-24
168,1684,127,200.33,2025-05-05
169,3475,2224,82.90,2024-04-27
170,3456,1334,207.96,2024-06-07
171,4700,1217,79.60,2025-03-03
172,2436,603,96.49,2025-05-03
173,4404,1790,155.33,2024-06-07
174,4890,1419,46.17,2024-08-24
175,2159,1206,72.05,2024-05-16
176,3491,333,139.92,2025-03-01
177,3168,112,105.11,2024-05-20
178,4622,2294,112.40,2025-10-20
179,4495,2117,46.11,2024-05-29
180,361,1263,66.41,2024-08-18
181,2095,114,28.96,2024-04-05
182,36,91,155.38,2024-11-18
183,316,2225,63.56,2024-07-08
184,262,504,42.99,2024-01-20
185,504,1330,232.72,2025-12-05
186,1099,1430,70.56,2025-11-07
187,2437,2115,225.45,2024-06-15
188,3403,2176,139.14,2025-07-03
189,3220,2192,156.98,2024-04-27
190,1804,873,154.21,2024-03-07
191,3828,354,193.36,2024-12-26
192,2041,2800,76.60,2025-12-12
193,2355,2492,70.59,2024-06-08
194,1261,2280,32.31,2025-12-06
195,910,2054,109.31,2024-12-27
196,2249,2404,186.69,2024-08-02
197,4095,1852,73.60,2025-07-19
198,2547,743,67.80,2025-09-08
199,918,2083,27.67,2024-07-10
200,4527,2004,319.28,2024-05-21
201,1305,2128,69.66,2025-08-31
202,1718,2723,372.45,2025-09-08
203,5,743,107.13,2025-09-12
204,1669,1475,179.27,2025-04-15
205,1484,949,73.47,2025-08-30
206,4128,699,41.09,2024-11-02
207,1441,619,177.50,2025-03-20
208,3921,2624,67.51,2024-04-26
209,1986,2970,332.25,2024-12-19
210,1708,828,96.66,2025-07-15
211,2789,1591,52.21,2024-06-07
212,4335,2340,54.24,2024-07-29
213,2744,216,63.93,2025-08-27
214,3141,2513,239.37,2025-03-02
215,225,146,150.14,2025-06-08
216,4278,2002,24.54,2024-11-14
217,3820,2523,93.59,2024-03-06
218,4908,2816,114.88,2024-06-05
219,670,399,71.42,2024-06-10
220,466,2923,167.50,2024-10-03
221,2191,2539,125.61,2025-08-31
222,605,2910,157.54,2025-12-08
223,2638,830,43.95,2024-09-11
224,818,1073,40.18,2025-11-22
225,3079,376,47.64,2025-07-08
226,3180,2157,58.72,2025-02-03
227,3731,2906,55.22,2024-12-09
228,3446,1415,105.10,2025-02-01
229,4052,1072,326.12,2024-08-28
230,3548,1577,180.55,2024-02-27
231,4847,1346,48.02,2025-04-01
232,3921,2624,161.09,2024-04-23
233,4350,604,47.91,2025-07-02
234,4307,333,197.46,2025-03-06
235,1556,354,58.55,2025-01-05
236,4244,1351,33.77,2024-09-13
237,1838,1707,66.75,2024-02-09
238,3362,2675,93.72,2024-04-14
239,3007,739,121.58,2025-10-10
240,669,1814,26.00,2025-03-20
241,225,146,285.88,2025-06-13
242,4603,402,52.18,2024-08-25
243,4108,858,49.74,2025-04-23
244,4472,2801,79.23,2025-05-27
245,4101,1926,39.62,2025-05-15
246,2127,1895,27.15,2024-05-07
247,2291,621,301.49,2024-10-04
248,4702,1240,64.29,2025-11-19
249,2339,1638,90.09,2025-02-26
250,1701,576,103.43,2024-02-04
251,4651,181,31.83,2025-02-15
252,3225,1824,114.46,2024-01-22
253,3376,2493,78.51,2025-04-26
254,1093,1675,50.23,2025-02-18
255,848,1818,150.45,2024-04-26
256,1135,68,127.67,2024-03-15
257,3296,1991,98.73,2025-01-23
258,1163,1819,101.97,2025-05-07
259,229,2927,66.47,2025-07-29
260,4219,523,157.50,2024-03-03
261,4092,1260,45.94,2025-02-14
262,3513,2110,55.15,2025-06-13
263,1280,700,46.68,2025-11-17
264,4632,1605,332.94,2024-01-23
265,2814,2992,609.40,2025-08-18
266,2866,1584,64.35,2025-06-05
267,707,830,13.26,2024-09-10
268,3194,303,53.71,2024-08-24
269,4548,1960,130.32,2025-04-04
270,4317,812,83.13,2025-08-13
271,2737,60,41.52,2025-10-30
272,3712,1121,60.34,2025-08-05
273,475,43,32.91,2025-01-19
274,2735,1881,30.46,2025-10-28
275,1484,949,116.22,2025-08-29
276,1750,45,177.13,2024-05-19
277,3994,1092,65.91,2025-07-16
278,880,1982,238.06,2024-11-12
279,4686,705,189.47,2024-05-10
280,4632,1605,35.12,2024-01-22
281,2999,895,117.02,2025-02-09
282,4927,2819,60.67,2025-05-14
283,4124,1091,40.82,2024-05-06
284,4586,2682,17.00,2025-09-01
285,4817,487,49.04,2024-02-18
286,2440,1281,19.80,2024-09-16
287,3994,1092,58.65,2025-07-14
288,4862,527,80.88,2024-11-20
289,2969,2799,77.82,2024-11-10
290,2866,1584,83.44,2025-06-14
291,2156,784,82.38,2024-02-19
292,381,2976,53.97,2025-06-08
293,3007,2906,55.60,2024-12-09
294,685,917,100.84,2025-11-13
295,4625,2203,78.56,2025-08-03
296,3766,311,254.55,2024-02-14
297,90,458,167.30,2025-06-17
298,3126,2011,42.53,2025-04-10
299,2644,888,51.89,2024-10-19
300,3907,2845,74.32,2025-07-28
301,2881,2626,369.07,2025-03-12
302,1286,2194,90.92,2024-06-13
303,2017,1579,46.01,2025-03-21
304,886,1104,61.70,2025-09-26
305,4712,2699,41.10,2024-09-04
306,1999,2945,42.17,2025-12-09
307,3073,1376,57.23,2025-09-05
308,4679,2502,87.34,2025-05-22
309,1102,2464,278.94,2024-12-14
310,2102,808,53.15,2024-06-17
311,3168,500,42.14,2025-01-23
312,4730,2377,43.62,2025-01-18
313,3298,1515,132.17,2024-10-10
314,1523,576,45.93,2024-01-27
315,1876,1419,172.87,2024-09-04
316,57,58,29.44,2025-11-22
317,2686,547,118.49,2025-05-28
318,3548,1577,45.16,2024-02-26
319,849,2892,152.47,2025-08-29
320,4885,1569,94.91,2024-06-05
321,2999,895,58.21,2025-02-04
322,3655,2998,184.20,2025-05-02
323,229,2126,69.46,2025-09-27
324,2716,918,46.21,2024-06-20
325,1791,1852,115.88,2025-07-24
326,1163,1819,59.09,2025-05-13
327,4951,573,77.88,2024-07-09
328,937,2902,382.45,2025-11-03
329,3776,1187,98.10,2024-12-17
330,4901,2641,112.83,2024-10-06
331,2459,2472,67.73,2024-11-13
332,2096,27,36.67,2025-02-03
333,1291,2677,36.92,2024-07-07
334,1731,1712,93.06,2024-07-12
335,336,430,82.39,2025-06-16
336,4766,2649,49.74,2024-03-12
337,1370,1183,38.88,2024-09-20
338,2796,2687,57.30,2025-11-24
339,2686,2113,86.87,2025-05-26
340,2986,1882,141.04,2025-06-03
341,1877,730,68.76,2024-09-12
342,495,2169,50.47,2025-10-30
343,3724,807,149.50,2024-09-21
344,3260,1436,43.19,2024-01-30
345,449,528,29.03,2024-03-16
346,4999,2518,161.15,2025-12-05
347,3645,1066,32.78,2025-11-14
348,216,2000,323.18,2024-04-22
349,3933,2066,91.75,2024-08-05
350,2385,608,34.12,2024-12-23
351,4351,2876,67.64,2024-08-27
352,4739,2300,91.86,2024-12-24
353,3749,664,123.08,2024-03-26
354,2489,1401,77.78,2025-07-25
355,4119,1217,43.46,2025-03-04
356,3285,1827,144.08,2025-02-07
357,2509,1501,97.73,2025-01-24
358,1827,841,99.99,2024-05-27
359,3557,1191,187.35,2025-05-11
360,937,2902,85.20,2025-10-26
361,1437,2025,102.94,2025-01-01
362,1531,1301,127.27,2024-11-05
363,1948,1552,86.36,2025-05-21
364,1929,1282,102.25,2024-10-02
365,2526,1574,147.51,2025-11-29
366,1574,1042,142.82,2024-08-20
367,1785,147,216.06,2024-09-24
368,3081,912,71.22,2025-11-18
369,3742,142,101.80,2024-11-11
370,1176,1531,59.82,2024-08-11
371,4985,219,87.14,2024-05-02
372,3650,2158,130.13,2025-06-17
373,4,495,73.17,2025-08-05
374,4599,1574,262.03,2025-11-25
375,2652,2414,89.43,2024-09-18
376,2334,558,53.33,2024-06-22
377,313,1665,100.11,2024-06-14
378,3531,1607,41.95,2024-09-10
379,2765,2513,23.08,2025-02-28
380,2236,365,295.74,2024-04-08
381,264,2856,28.09,2025-08-18
382,1592,1694,28.50,2024-02-08
383,4757,1376,136.73,2025-09-06
384,1929,1282,71.06,2024-10-10
385,3518,570,71.73,2024-05-10
386,3558,2848,106.06,2024-02-06
387,1750,45,51.43,2024-05-22
388,1456,404,115.51,2024-05-07
389,2463,1483,352.56,2025-12-12
390,3863,2291,75.35,2024-05-07
391,2282,572,126.09,2025-03-05
392,2043,2820,54.65,2024-09-15
393,4919,2646,178.88,2024-11-21
394,4614,1648,81.39,2024-11-04
395,4038,1248,77.98,2025-08-03
396,3561,2376,79.11,2025-05-10
397,2502,1852,38.30,2025-07-20
398,888,1603,62.63,2024-09-01
399,3824,165,45.96,2024-02-12
400,886,2578,173.01,2025-09-22
401,8,947,107.09,2024-10-14
402,2719,2624,59.51,2024-04-23
403,4911,2525,137.71,2024-11-18
404,3712,1121,131.54,2025-08-01
405,3278,534,96.36,2025-03-27
406,2199,501,209.45,2025-06-08
407,1152,721,127.46,2024-09-20
408,3885,439,102.59,2025-06-27
409,4728,1527,52.57,2025-04-30
410,2502,1852,13.41,2025-08-03
411,4908,2816,43.78,2024-06-06
412,4426,1289,78.38,2024-05-01
413,1614,1588,195.35,2025-03-09
414,4114,2169,122.70,2025-10-25
415,2665,977,108.98,2024-02-23
416,1099,2803,106.61,2025-10-08
417,2847,664,252.19,2024-03-21
418,496,2628,219.11,2025-05-26
419,3205,726,26.94,2025-03-27
420,1258,2031,111.41,2025-08-11
421,3507,167,65.63,2024-01-24
422,2700,182,35.40,2024-08-07
423,1045,1050,88.07,2025-03-18
424,4540,1203,239.29,2025-01-18
425,2504,2326,97.84,2025-08-18
426,2735,1881,68.93,2025-10-16
427,4685,2354,82.97,2024-03-24
428,1723,2261,39.66,2025-09-09
429,3203,2278,29.71,2024-10-19
430,1968,75,196.88,2024-11-06
431,2599,470,21.83,2024-05-01
432,1550,2965,380.15,2024-10-07
433,4576,702,69.58,2025-08-17
434,3428,2410,157.61,2024-09-20
435,2708,2859,31.09,2025-09-15
436,1777,2223,140.20,2024-08-30
437,3011,528,40.21,2024-03-28
438,1189,2956,60.72,2024-03-03
439,4817,487,71.25,2024-02-14
440,216,2364,78.86,2024-02-23
441,2808,2870,61.54,2025-06-25
442,4151,2881,94.53,2025-05-13
443,4891,1364,62.97,2025-08-02
444,1885,2512,38.70,2024-10-29
445,3341,1808,280.77,2025-01-16
446,1371,183,73.91,2025-06-20
447,3655,2998,129.39,2025-04-28
448,4153,2121,59.21,2024-06-09
449,1782,1626,54.99,2025-09-22
450,4617,134,80.84,2024-05-19
451,4572,1204,72.43,2024-08-22
452,4689,2256,191.90,2024-07-18
453,3503,1992,77.35,2025-04-28
454,2529,1063,210.71,2025-10-24
455,700,727,73.76,2025-12-02
456,2446,645,23.03,2025-09-17
457,2461,2741,119.64,2025-10-19
458,1785,147,199.42,2024-09-17
459,239,2959,36.41,2024-12-09
460,1531,1301,64.90,2024-11-15
461,4214,2483,75.88,2025-08-31
462,3169,1493,44.27,2024-05-26
463,2999,895,61.21,2025-02-13
464,2882,2551,50.59,2024-01-10
465,2317,791,88.87,2025-03-20
466,475,2794,129.18,2025-06-30
467,4714,457,36.29,2025-03-12
468,2514,1252,90.58,2025-04-11
469,4702,477,29.25,2024-04-05
470,2048,1384,118.04,2025-06-27
471,2558,880,103.14,2024-02-15
472,1012,905,338.05,2024-08-18
473,4891,1364,92.29,2025-08-04
474,3168,112,121.25,2024-05-28
475,2043,2820,52.12,2024-09-18
476,1026,517,55.19,2025-10-11
477,2210,2710,235.58,2025-07-31
478,173,2976,246.43,2025-06-14
479,3642,1332,120.30,2025-05-09
480,2963,2030,108.94,2025-03-26
481,281,2546,171.34,2025-10-27
482,3965,495,95.00,2025-08-09
483,562,2208,61.30,2024-10-30
484,885,2608,19.34,2025-02-20
485,1955,1481,34.69,2024-02-10
486,1352,1970,48.41,2025-09-24
487,4843,772,89.19,2025-10-10
488,2288,1121,253.53,2025-08-01
489,1045,1050,150.89,2025-03-20
490,3754,1658,115.11,2025-01-08
491,4064,2484,95.94,2024-03-11
492,3949,2151,44.08,2025-03-05
493,2719,2624,104.41,2024-04-23
494,932,2261,87.72,2025-09-15
495,4886,254,76.35,2025-11-16
496,3170,2347,80.29,2024-06-11
497,3879,1599,126.08,2024-12-08
498,2708,2859,169.72,2025-09-09
499,2601,188,36.26,2024-04-26
500,3786,2212,49.00,2025-05-06
501,2225,1102,103.02,2025-11-29
502,2385,608,94.73,2024-12-21
503,2534,1774,182.81,2024-12-06
504,1160,1230,65.67,2025-06-05
505,2899,49,279.15,2024-08-28
506,963,598,101.85,2024-01-23
507,1328,400,126.57,2025-03-03
508,3225,1824,24.27,2024-01-20
509,4776,2229,75.78,2025-09-18
510,4471,184,159.51,2025-05-22
511,2084,1211,91.18,2025-09-05
512,4609,1087,458.55,2024-11-24
513,4470,1205,173.85,2024-12-18
514,1998,604,19.94,2025-07-02
515,1952,2784,202.62,2025-03-20
516,3362,2675,153.56,2024-04-03
517,2615,644,155.69,2024-09-20
518,3487,1777,36.87,2025-10-04
519,2236,365,64.89,2024-03-27
520,4518,30,275.62,2025-11-04
521,1308,743,116.59,2025-09-02
522,3126,2011,51.46,2025-04-14
523,2853,1335,39.97,2024-07-22
524,3532,2565,108.48,2025-05-08
525,3923,2422,52.27,2025-10-04
526,710,2678,57.99,2025-02-20
527,2370,380,61.80,2025-05-08
528,2999,895,46.71,2025-02-08
529,3456,1334,71.89,2024-06-04
530,316,2225,28.35,2024-07-10
531,4070,820,481.32,2024-11-10
532,4948,637,49.65,2025-06-25
533,1276,1767,64.10,2025-02-12
534,716,558,133.33,2024-07-07
535,1353,708,56.38,2025-07-17
536,3837,2200,552.26,2025-07-20
537,263,1287,114.38,2024-04-26
538,1695,2727,72.74,2024-12-22
539,314,1662,38.68,2025-10-31
540,1876,1409,36.38,2024-02-24
541,1984,2578,32.56,2025-09-25
542,4770,1993,83.62,2024-03-02
543,2830,1954,174.85,2024-10-26
544,2921,925,243.64,2024-07-11
545,865,2863,177.17,2025-01-16
546,1328,400,18.44,2025-03-04
547,4415,978,89.52,2025-03-05
548,2229,2617,88.59,2024-06-22
549,4095,1852,84.08,2025-07-15
550,2545,210,74.10,2025-04-05
551,1055,813,143.31,2025-10-10
552,2236,365,119.53,2024-03-30
553,1009,1828,68.15,2024-05-11
554,448,2935,82.43,2024-08-29
555,125,64,239.80,2025-11-29
556,1780,1594,138.49,2024-06-26
557,1560,1513,57.96,2024-03-30
558,4714,457,100.99,2025-03-09
559,355,637,79.89,2025-07-07
560,4641,2198,49.86,2025-02-25
561,4720,2849,125.17,2025-07-10
562,4099,315,102.33,2024-03-13
563,3491,1655,97.02,2024-02-23
564,4786,2924,142.87,2025-05-16
565,1277,2925,75.09,2025-03-14
566,4026,2504,50.73,2025-04-06
567,381,2502,46.99,2025-05-17
568,4712,2699,97.52,2024-09-13
569,190,825,51.64,2025-07-23
570,1509,960,131.20,2024-06-06
571,4261,2297,20.71,2025-07-08
572,4267,1339,185.12,2024-04-14
573,2961,212,89.91,2025-02-15
574,2223,2338,35.15,2025-07-25
575,445,2724,231.92,2025-05-20
576,2999,895,145.41,2025-02-05
577,659,2818,113.91,2025-03-21
578,940,2717,36.99,2024-12-22
579,4670,2005,113.00,2025-04-04
580,3645,239,123.44,2024-12-08
581,410,2062,66.14,2024-08-14
582,3710,1813,26.47,2025-11-23
583,2514,1252,62.76,2025-04-02
584,1048,226,121.07,2024-07-18
585,2961,2586,161.18,2024-12-30
586,1626,306,342.87,2024-05-01
587,2937,2582,84.46,2025-05-10
588,2130,545,57.99,2025-08-22
589,2053,1859,124.07,2025-03-12
590,3296,1238,33.03,2024-11-10
591,370,786,23.85,2025-06-20
592,4662,1930,48.77,2024-04-20
593,2411,883,382.50,2025-03-18
594,4470,1205,48.77,2024-12-15
595,1887,1525,120.11,2025-06-24
596,1885,2512,35.88,2024-10-30
597,1634,538,52.91,2024-09-06
598,1726,2533,92.32,2024-10-14
599,1564,967,74.67,2024-11-02
600,2558,880,35.38,2024-02-08
601,3421,1930,121.62,2024-04-19
602,4764,110,83.44,2024-03-20
603,2096,27,48.18,2025-01-22
604,3737,35,51.80,2025-11-11
605,3017,1363,564.00,2025-09-14
606,517,1631,45.18,2025-02-25
607,3031,565,63.43,2024-10-15
608,2130,545,138.81,2025-08-26
609,1464,1732,464.85,2025-03-13
610,2454,989,236.92,2024-10-07
611,2814,2992,170.46,2025-08-15
612,3283,43,96.38,2025-01-22
613,3746,1797,122.65,2025-02-15
614,1092,492,96.19,2025-05-26
615,1009,1828,103.46,2024-05-05
616,4776,2229,148.18,2025-09-11
617,3907,2845,41.99,2025-07-26
618,3395,2988,457.14,2025-08-26
619,4572,1204,29.18,2024-08-17
620,4478,60,25.03,2025-10-10
621,1217,1021,10.34,2025-04-09
622,580,974,28.58,2025-08-15
623,4968,2341,86.50,2024-11-04
624,1929,1282,77.83,2024-10-04
625,1102,2464,285.94,2024-12-13
626,4718,1027,143.84,2025-02-12
627,4306,1077,70.39,2024-07-27
628,2045,2333,100.27,2024-05-15
629,1747,2181,56.98,2024-07-06
630,2666,125,155.87,2025-09-28
631,2409,2044,32.40,2024-06-20
632,3541,1251,49.46,2025-02-17
633,449,528,33.80,2024-03-21
634,1064,2536,84.83,2025-09-09
635,1838,1707,186.98,2024-02-01
636,2039,2989,103.67,2024-07-13
637,3753,2706,182.26,2024-10-21
638,2420,2911,56.32,2025-04-25
639,537,2755,309.42,2024-06-01
640,1693,2779,48.11,2025-05-25
641,2028,1824,47.05,2024-01-17
642,4354,2990,170.48,2024-09-11
643,2778,1776,13.38,2025-07-03
644,3362,2675,117.50,2024-04-06
645,2235,2452,64.41,2024-10-17
646,2943,1339,42.88,2024-04-22
647,1547,947,52.08,2024-10-31
648,4625,2203,49.53,2025-08-04
649,2750,2010,34.49,2024-12-14
650,141,1992,104.63,2025-04-22
651,2251,579,88.24,2024-10-09
652,2652,2414,76.19,2024-09-23
653,4867,1746,67.77,2025-11-17
654,4058,1579,76.41,2025-03-17
655,3457,2396,58.59,2024-07-29
656,4458,1072,43.16,2024-08-27
657,4100,1500,67.28,2025-04-05
658,2480,2765,53.69,2025-10-02
659,1423,2176,83.70,2025-07-10
660,4818,2640,84.06,2025-12-06
661,1276,1767,160.07,2025-02-13
662,4331,2930,158.23,2024-10-06
663,3766,311,57.04,2024-02-13
664,3770,1118,143.15,2025-03-26
665,336,1109,64.56,2024-08-29
666,4867,1746,158.77,2025-11-17
667,3417,2821,179.96,2025-02-01
668,2369,1076,235.91,2025-10-08
669,1495,1612,113.52,2025-10-22
670,2229,2617,108.15,2024-06-20
671,3611,1267,28.04,2025-08-17
672,790,1983,134.06,2025-10-08
673,2634,631,78.36,2024-03-05
674,1212,95,102.05,2024-06-01
675,741,2514,135.99,2024-03-10
676,40,672,92.48,2025-09-22
677,4632,1605,50.67,2024-02-01
678,2438,2150,37.70,2025-08-02
679,4579,1130,39.06,2025-08-25
680,1060,1460,288.83,2025-05-27
681,2705,1272,96.36,2025-07-30
682,1033,2428,50.63,2025-01-13
683,2127,1895,158.29,2024-05-02
684,174,2146,56.50,2025-08-10
685,41,753,40.07,2024-11-02
686,3582,1412,255.76,2024-01-20
687,2138,459,44.08,2024-12-19
688,4950,129,77.33,2025-08-28
689,475,43,137.97,2025-02-01
690,909,1104,174.58,2025-09-15
691,4382,198,120.11,2024-08-13
692,120,2292,123.96,2025-08-25
693,2459,2472,149.29,2024-11-13
694,4007,801,40.76,2024-12-16
695,267,1241,101.22,2024-08-31
696,284,1342,52.43,2024-05-15
697,4586,2682,333.03,2025-09-04
698,1512,1413,36.36,2025-08-22
699,642,1371,79.74,2025-02-18
700,4219,1815,139.78,2024-05-01
701,263,1330,129.45,2025-12-05
702,4968,2341,60.07,2024-11-08
703,4604,2840,24.55,2024-12-28
704,3078,2030,136.68,2025-03-24
705,3919,140,19.29,2025-07-16
706,2416,2381,145.61,2024-12-30
707,1543,2331,29.99,2025-02-20
708,1701,576,59.13,2024-01-23
709,2116,2267,41.85,2024-09-18
710,2622,2170,213.82,2024-07-03
711,3642,1332,141.60,2025-04-29
712,1423,2176,117.93,2025-07-05
713,4023,2984,113.34,2025-07-14
714,4128,1196,73.97,2024-10-25
715,4306,2032,149.50,2024-03-28
716,333,851,337.31,2025-11-05
717,3142,2760,50.76,2024-10-06
718,712,1967,240.14,2025-02-09
719,2167,2673,30.59,2024-02-27
720,4891,2170,17.41,2024-06-13
721,4609,1087,121.66,2024-11-25
722,4207,190,93.13,2024-07-26
723,4846,1545,370.40,2024-09-27
724,2054,428,113.54,2024-06-07
725,93,687,50.31,2025-11-24
726,2163,145,180.91,2024-05-28
727,714,234,167.80,2025-01-02
728,3978,2098,40.02,2024-03-09
729,4221,566,90.31,2024-07-07
730,2451,284,54.64,2024-09-16
731,658,14,191.98,2024-01-17
732,4114,2169,72.48,2025-10-26
733,4540,1203,201.63,2025-01-17
734,216,2000,291.06,2024-04-18
735,3840,128,74.48,2024-06-08
736,1998,913,73.13,2024-07-10
737,8,2619,220.67,2024-06-30
738,3073,1376,196.03,2025-09-01
739,2808,2870,124.16,2025-06-24
740,4764,110,77.49,2024-03-28
741,2420,2911,102.71,2025-04-27
742,3362,2675,70.49,2024-04-05
743,1319,563,140.32,2025-04-08
744,1984,1959,40.51,2025-04-25
745,374,2777,122.18,2025-08-14
746,3417,356,79.33,2024-11-21
747,1042,802,111.44,2025-11-26
748,1278,2512,26.72,2024-11-07
749,646,1428,58.25,2025-03-22
750,4908,2816,81.74,2024-06-10
751,4069,1695,157.34,2024-12-12
752,2528,1624,193.55,2024-11-13
753,132,2033,75.02,2025-06-06
